iter	Passed	Remaining
0	1	158
1	3	164
2	5	176
3	6	157
4	8	154
5	9	149
6	10	145
7	12	143
8	13	140
9	16	144
10	18	150
11	20	150
12	22	147
13	23	144
14	25	143
15	26	139
16	28	136
17	30	137
18	31	135
19	33	134
20	35	132
21	36	129
22	38	127
23	39	125
24	41	123
25	42	121
26	44	120
27	46	118
28	47	116
29	49	115
30	51	113
31	52	111
32	54	109
33	55	108
34	57	106
35	62	111
36	64	110
37	67	109
38	69	108
39	70	106
40	73	105
41	74	102
42	76	101
43	79	101
44	81	99
45	83	97
46	84	95
47	86	93
48	90	93
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	101	82
55	102	80
56	104	78
57	106	76
58	107	74
59	109	72
60	111	71
61	113	69
62	116	68
63	119	67
64	123	66
65	125	64
66	127	62
67	128	60
68	130	58
69	132	56
70	133	54
71	135	52
72	137	51
73	140	49
74	141	47
75	143	45
76	144	43
77	146	41
78	148	39
79	149	37
80	151	35
81	153	33
82	156	31
83	158	30
84	160	28
85	162	26
86	165	24
87	167	22
88	169	20
89	172	19
90	175	17
91	177	15
92	180	13
93	182	11
94	184	9
95	186	7
96	188	5
97	189	3
98	192	1
99	194	0
