iter	Passed	Remaining
0	180	180214
1	183	91433
2	185	61715
3	187	46768
4	190	37869
5	192	31895
6	194	27615
7	196	24398
8	198	21871
9	200	19890
10	202	18207
11	204	16838
12	207	15789
13	209	14776
14	211	13857
15	212	13059
16	213	12342
17	214	11706
18	215	11135
19	216	10624
20	218	10166
21	219	9752
22	223	9491
23	224	9140
24	226	8828
25	227	8529
26	228	8248
27	230	7987
28	231	7744
29	232	7513
30	233	7294
31	235	7119
32	236	6944
33	238	6774
34	239	6605
35	240	6444
36	241	6291
37	242	6145
38	243	6009
39	244	5879
40	246	5755
41	247	5638
42	250	5584
43	252	5480
44	253	5376
45	254	5276
46	255	5183
47	256	5094
48	258	5008
49	259	4921
50	260	4838
51	261	4758
52	261	4681
53	265	4643
54	266	4576
55	267	4507
56	268	4439
57	269	4376
58	270	4314
59	271	4254
60	272	4196
61	273	4139
62	274	4084
63	275	4035
64	277	3985
65	280	3968
66	281	3918
67	282	3869
68	283	3821
69	284	3775
70	285	3730
71	286	3687
72	287	3645
73	288	3606
74	289	3566
75	290	3528
76	291	3490
77	292	3453
78	294	3430
79	295	3397
80	296	3362
81	297	3328
82	297	3290
83	298	3258
84	299	3228
85	301	3199
86	301	3168
87	303	3142
88	304	3113
89	305	3084
90	305	3056
91	308	3043
92	309	3017
93	310	2991
94	311	2966
95	312	2943
96	313	2917
97	314	2893
98	315	2869
99	316	2846
100	317	2824
101	318	2802
102	319	2782
103	320	2760
104	322	2753
105	324	2735
106	325	2716
107	326	2697
108	327	2677
109	328	2658
110	329	2640
111	331	2627
112	332	2610
113	333	2592
114	334	2574
115	335	2557
116	336	2542
117	338	2527
118	339	2511
119	340	2497
120	341	2482
121	342	2465
122	343	2450
123	344	2436
124	345	2421
125	346	2406
126	347	2390
127	349	2383
128	351	2372
129	352	2359
130	353	2346
131	355	2334
132	356	2321
133	357	2308
134	358	2296
135	359	2284
136	360	2272
137	361	2261
138	366	2269
139	367	2260
140	369	2250
141	370	2237
142	371	2229
143	373	2219
144	374	2210
145	376	2202
146	378	2196
147	380	2190
148	382	2183
149	384	2177
150	386	2171
151	387	2163
152	389	2155
153	390	2147
154	392	2142
155	394	2136
156	401	2154
157	403	2148
158	404	2141
159	406	2134
160	409	2132
161	411	2131
162	414	2129
163	416	2125
164	418	2118
165	420	2113
166	422	2107
167	424	2103
168	426	2099
169	428	2093
170	430	2086
171	431	2078
172	433	2072
173	434	2064
174	436	2057
175	438	2055
176	441	2050
177	443	2046
178	445	2042
179	447	2038
180	448	2031
181	450	2024
182	452	2020
183	455	2022
184	457	2015
185	459	2011
186	461	2005
187	462	1998
188	464	1991
189	465	1985
190	470	1992
191	472	1988
192	474	1982
193	475	1976
194	477	1969
195	478	1964
196	480	1958
197	482	1952
198	486	1957
199	488	1952
200	489	1946
201	491	1940
202	492	1934
203	494	1927
204	495	1921
205	497	1916
206	499	1914
207	501	1908
208	502	1903
209	504	1897
210	505	1890
211	506	1883
212	507	1876
213	509	1870
214	510	1864
215	515	1869
216	516	1863
217	517	1857
218	519	1851
219	520	1845
220	521	1839
221	523	1833
222	524	1827
223	525	1821
224	527	1818
225	530	1815
226	532	1812
227	533	1807
228	535	1801
229	536	1797
230	537	1790
231	540	1789
232	542	1785
233	543	1779
234	544	1773
235	546	1768
236	547	1762
237	548	1756
238	549	1751
239	551	1745
240	552	1739
241	553	1733
242	554	1727
243	555	1721
244	557	1716
245	558	1712
246	560	1708
247	561	1702
248	562	1697
249	564	1693
250	565	1687
251	566	1681
252	567	1677
253	569	1671
254	570	1665
255	573	1666
256	574	1661
257	576	1656
258	577	1652
259	579	1649
260	581	1645
261	582	1641
262	588	1648
263	635	1772
264	638	1769
265	640	1766
266	645	1770
267	647	1767
268	648	1762
269	656	1774
270	658	1771
271	660	1768
272	662	1764
273	664	1760
274	686	1810
275	689	1809
276	692	1808
277	695	1806
278	699	1806
279	700	1801
280	703	1799
281	704	1794
282	708	1794
283	711	1793
284	717	1798
285	719	1796
286	726	1805
287	729	1803
288	732	1801
289	736	1803
290	739	1800
291	741	1797
292	743	1794
293	745	1790
294	748	1788
295	749	1783
296	753	1784
297	755	1779
298	756	1774
299	758	1769
300	760	1764
301	762	1761
302	763	1757
303	766	1754
304	768	1750
305	770	1746
306	771	1741
307	772	1736
308	774	1732
309	775	1726
310	777	1721
311	778	1716
312	779	1711
313	782	1708
314	783	1703
315	784	1698
316	786	1693
317	787	1689
318	789	1684
319	790	1679
320	791	1674
321	792	1669
322	793	1664
323	795	1659
324	797	1655
325	798	1651
326	800	1647
327	801	1642
328	802	1637
329	803	1632
330	805	1627
331	806	1622
332	807	1617
333	808	1612
334	809	1607
335	811	1604
336	812	1599
337	814	1594
338	815	1590
339	816	1585
340	818	1581
341	819	1576
342	820	1571
343	821	1567
344	823	1563
345	825	1559
346	826	1555
347	828	1551
348	829	1547
349	830	1543
350	831	1538
351	833	1533
352	834	1529
353	835	1524
354	836	1520
355	840	1519
356	841	1515
357	843	1511
358	844	1507
359	845	1502
360	846	1498
361	847	1493
362	848	1489
363	849	1484
364	850	1480
365	852	1476
366	854	1472
367	855	1469
368	856	1465
369	857	1460
370	858	1456
371	859	1451
372	861	1447
373	862	1443
374	863	1439
375	864	1435
376	865	1430
377	872	1434
378	873	1430
379	874	1426
380	875	1422
381	876	1418
382	877	1414
383	878	1409
384	879	1405
385	881	1401
386	884	1401
387	887	1399
388	888	1395
389	889	1391
390	891	1388
391	892	1384
392	893	1380
393	894	1376
394	895	1371
395	896	1368
396	898	1365
397	900	1361
398	901	1357
399	902	1353
400	903	1349
401	904	1345
402	905	1342
403	907	1338
404	908	1334
405	909	1330
406	910	1326
407	911	1322
408	912	1318
409	914	1316
410	915	1312
411	917	1309
412	918	1305
413	920	1302
414	921	1298
415	922	1295
416	923	1291
417	925	1288
418	926	1284
419	929	1284
420	931	1281
421	932	1277
422	933	1273
423	935	1270
424	936	1267
425	938	1264
426	939	1260
427	940	1256
428	944	1257
429	946	1254
430	947	1251
431	949	1248
432	950	1244
433	952	1241
434	953	1238
435	954	1235
436	956	1232
437	960	1231
438	961	1228
439	962	1225
440	964	1222
441	965	1219
442	967	1216
443	968	1213
444	970	1210
445	972	1208
446	974	1205
447	976	1202
448	977	1199
449	980	1198
450	982	1195
451	983	1192
452	988	1193
453	990	1190
454	993	1189
455	995	1187
456	996	1184
457	998	1181
458	1002	1182
459	1005	1180
460	1007	1178
461	1009	1175
462	1010	1172
463	1012	1169
464	1013	1166
465	1014	1162
466	1017	1161
467	1019	1158
468	1021	1156
469	1022	1153
470	1023	1150
471	1025	1147
472	1026	1144
473	1028	1140
474	1029	1137
475	1030	1134
476	1032	1132
477	1034	1129
478	1036	1126
479	1037	1123
480	1038	1120
481	1040	1118
482	1042	1116
483	1050	1119
484	1052	1117
485	1053	1114
486	1055	1111
487	1056	1108
488	1057	1105
489	1059	1102
490	1061	1099
491	1066	1101
492	1068	1098
493	1069	1095
494	1071	1092
495	1072	1089
496	1076	1089
497	1079	1088
498	1081	1086
499	1083	1083
500	1084	1080
501	1086	1077
502	1087	1074
503	1096	1078
504	1098	1076
505	1100	1074
506	1102	1072
507	1104	1069
508	1107	1068
509	1111	1068
510	1114	1066
511	1128	1076
512	1131	1073
513	1133	1071
514	1136	1070
515	1139	1068
516	1140	1065
517	1143	1063
518	1144	1061
519	1146	1058
520	1148	1055
521	1151	1054
522	1152	1051
523	1163	1057
524	1165	1054
525	1167	1052
526	1170	1050
527	1172	1048
528	1175	1046
529	1177	1043
530	1179	1041
531	1180	1038
532	1182	1035
533	1183	1033
534	1185	1030
535	1187	1027
536	1189	1025
537	1190	1022
538	1193	1020
539	1195	1018
540	1197	1016
541	1201	1014
542	1205	1014
543	1210	1014
544	1212	1012
545	1214	1009
546	1215	1006
547	1217	1004
548	1224	1006
549	1226	1003
550	1228	1000
551	1230	998
552	1232	996
553	1238	997
554	1248	1000
555	1252	999
556	1254	997
557	1256	995
558	1259	993
559	1262	992
560	1266	991
561	1279	997
562	1281	994
563	1284	993
564	1288	991
565	1291	990
566	1295	989
567	1297	986
568	1300	984
569	1308	986
570	1310	984
571	1313	982
572	1315	980
573	1318	978
574	1323	977
575	1325	975
576	1327	973
577	1330	971
578	1332	969
579	1335	966
580	1338	965
581	1341	963
582	1343	961
583	1345	958
584	1349	957
585	1353	955
586	1356	954
587	1359	952
588	1361	950
589	1363	947
590	1365	944
591	1368	943
592	1370	940
593	1372	937
594	1374	935
595	1376	932
596	1378	930
597	1380	927
598	1384	927
599	1386	924
600	1389	922
601	1391	919
602	1392	917
603	1406	922
604	1419	926
605	1425	927
606	1429	925
607	1432	923
608	1437	923
609	1439	920
610	1445	920
611	1447	917
612	1450	915
613	1451	912
614	1453	910
615	1455	907
616	1458	905
617	1461	903
618	1464	901
619	1466	898
620	1468	895
621	1469	893
622	1472	891
623	1475	889
624	1477	886
625	1479	883
626	1480	880
627	1482	878
628	1488	877
629	1490	875
630	1493	873
631	1495	870
632	1497	868
633	1500	866
634	1504	864
635	1508	863
636	1510	860
637	1512	858
638	1514	855
639	1516	853
640	1519	851
641	1522	849
642	1524	846
643	1526	843
644	1528	841
645	1533	840
646	1535	837
647	1537	835
648	1538	832
649	1540	829
650	1541	826
651	1543	823
652	1544	820
653	1547	818
654	1549	816
655	1551	813
656	1553	811
657	1555	808
658	1557	805
659	1559	803
660	1561	800
661	1567	800
662	1569	797
663	1570	794
664	1572	792
665	1574	789
666	1576	787
667	1578	784
668	1581	782
669	1583	779
670	1584	777
671	1586	774
672	1588	771
673	1591	769
674	1592	766
675	1596	765
676	1597	762
677	1599	759
678	1601	756
679	1602	754
680	1604	751
681	1606	749
682	1609	746
683	1610	744
684	1612	741
685	1614	738
686	1615	736
687	1617	733
688	1619	731
689	1621	728
690	1623	725
691	1625	723
692	1627	720
693	1628	718
694	1630	715
695	1631	712
696	1634	710
697	1638	708
698	1640	706
699	1641	703
700	1643	700
701	1644	698
702	1646	695
703	1649	693
704	1651	691
705	1653	688
706	1656	686
707	1657	683
708	1659	681
709	1661	678
710	1662	675
711	1665	673
712	1667	671
713	1669	668
714	1671	666
715	1673	663
716	1675	661
717	1679	659
718	1681	657
719	1683	654
720	1684	651
721	1686	649
722	1687	646
723	1690	644
724	1691	641
725	1693	639
726	1696	636
727	1698	634
728	1700	632
729	1701	629
730	1703	626
731	1705	624
732	1707	621
733	1708	619
734	1711	616
735	1712	614
736	1714	611
737	1715	609
738	1721	608
739	1725	606
740	1727	603
741	1728	601
742	1729	598
743	1731	595
744	1732	593
745	1738	591
746	1740	589
747	1742	586
748	1743	584
749	1744	581
750	1746	579
751	1748	576
752	1750	574
753	1752	571
754	1754	569
755	1756	566
756	1757	564
757	1759	561
758	1760	558
759	1762	556
760	1766	554
761	1767	552
762	1770	549
763	1771	547
764	1773	544
765	1774	542
766	1775	539
767	1777	536
768	1780	534
769	1782	532
770	1785	530
771	1786	527
772	1788	525
773	1790	522
774	1798	522
775	1800	519
776	1802	517
777	1804	514
778	1805	512
779	1811	510
780	1814	508
781	1815	506
782	1817	503
783	1818	501
784	1821	498
785	1825	497
786	1826	494
787	1829	492
788	1830	489
789	1832	486
790	1833	484
791	1834	481
792	1836	479
793	1839	477
794	1841	474
795	1844	472
